position;company;reviews;clean_position;city;state;python;statistics;mathematics;java;sql;excel;modeling;c++;r;visualization;ml;ai;has_phd;has_bachelor;has_master;;;;;
Supervisory Health Scientist;Centers for Disease Control and Prevention;350;data scientist;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Manager - Cognitive Data Scientist Natural Language Processing;KPMG;4494;data scientist;Atlanta;GA;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;;;;;
Director; Data Scientist;KPMG;4494;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;;;;
VP; Data Scientist- Atlanta;" GA; Charlotte"; NC;Bank of America Merchant Services;159;data scientist;Atlanta;GA;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;;
Statistical Analyst;Hawkins Diagnostics;0;data analyst;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
VP; Data Analytics;TCGplayer;0;other role;Atlanta;GA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;
Lead Decision Scientist;Moxie Interactive, Inc.;0;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;;;;;
Scientist I - Sensory Panel Leader;The Coca-Cola Company;7236;data scientist;Atlanta;GA;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Data Scientist or Data Scientist Lead PS10268;Anthem, Inc.;3182;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;;;;;
Lead Decision Scientist;Moxie;347;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;;;;;
Senior Cyber Security Data Scientist;Bank of America;21954;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;
Scientist II/Ecologist II;HNTB Corporation;127;data scientist;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;;;;;
Data Engineer;Gallup;140;data engineer;Atlanta;GA;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;;;;;
Manager; Data Scientist;KPMG;4494;data scientist;Atlanta;GA;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;;;;
Machine Learning / Artificial Intelligence Research Scientist;Symantec;950;data scientist;Atlanta;GA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;
Statistical Quantitative Analyst;SunTrust;3343;data analyst;Atlanta;GA;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;;;;;
Research Scientist;MacDermid Inc.;0;data scientist;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Environmental Scientist;Tetra Tech;260;data scientist;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Scientist; Asst Bioinformatics;Emory University;550;data scientist;Atlanta;GA;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;;;
Research Analyst;Evident;8;data analyst;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Scientist; Asst (AR) SOM;Emory Healthcare;1181;data scientist;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;;;;
Analyst; Research;Turner;375;data analyst;Atlanta;GA;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;;;;
Director; NLP Data Scientist;KPMG;4494;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;;;;
Information Technology Specialist;Centers for Disease Control and Prevention;350;other role;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Quantitative Analyst;GreenSky;26;data analyst;Atlanta;GA;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
DATA ANALYST SUPPLY CHAIN;The Home Depot;38844;data analyst;Atlanta;GA;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;;;;;
Scientist; Asst (AR) SOM;Emory University;550;data scientist;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;;;;
