CountryOrTerritory;Namespace;Network;ResponsibleParty;TimeZone;StationName;EoICode;StationType;StationArea;Pollutant;SamplingPointId;Latitude;Longitude;Altitudee;MeasurementRegime;OperationalActivityBegin;OperationalActivityEnd;Sample;SamplingProcess;MeasurementEquipment;MeasurementMethod;SamplingEquipment;AnalyticalTechnique;envelope
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Sants);ES1396A;Background;Urban;Cadmium in PM10 (aerosol);SP_08019042_28_M;41.3788028;2.133098078;35;Continuous data collection;2009-01-01T00:00:00Z;2011-12-31T00:00:00Z;SAM_08019042_28_M;SPP_08019042_28_M.2;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (IES Goya);ES1852A;Background;Suburban;Cadmium in PM10 (aerosol);SP_08019053_28_M;41.42068447;2.170571748;2;Continuous data collection;2012-01-01T00:00:00Z;2012-12-31T00:00:00Z;SAM_08019053_28_M;SPP_08019053_28_M.3;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (parc de la Vall d'Hebron);ES1856A;Background;Urban;Cadmium in PM10 (aerosol);SP_08019054_28_M;41.4260772;2.147992032;136;Continuous data collection;2008-01-01T00:00:00Z;2008-12-31T00:00:00Z;SAM_08019054_28_M;SPP_08019054_28_M.1;;;;Atomic absorption spectrometry (AAS);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (IES Verdaguer);ES1900A;Background;Urban;Arsenic in PM10 (aerosol);SP_08019055_17_M;41.38723783;2.186736695;7;Continuous data collection;2012-01-01T00:00:00Z;2012-12-31T00:00:00Z;SAM_08019055_17_M;SPP_08019055_17_M.2;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Sants);ES1396A;Background;Urban;1,2,4-Trimethylbenzene (air);SP_08019042_424_M;41.3788028;2.133098078;35;Continuous data collection;2012-01-01T00:00:00Z;;SAM_08019042_424_M;SPP_08019042_424_M.2;;;;Gas chromatography + mass spectrometry (GC-MS);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Sants);ES1396A;Background;Urban;Arsenic in PM10 (aerosol);SP_08019042_17_M;41.3788028;2.133098078;35;Continuous data collection;2013-01-01T00:00:00Z;;SAM_08019042_17_M;SPP_08019042_17_M.4;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Sants);ES1396A;Background;Urban;Lead in PM10 (aerosol);SP_08019042_19_M;41.3788028;2.133098078;35;Continuous data collection;2013-01-01T00:00:00Z;;SAM_08019042_19_M;SPP_08019042_19_M.4;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Sants);ES1396A;Background;Urban;trans-2-Butene (air);SP_08019042_409_M;41.3788028;2.133098078;35;Continuous data collection;2012-01-01T00:00:00Z;;SAM_08019042_409_M;SPP_08019042_409_M.2;;;;Gas chromatography + mass spectrometry (GC-MS);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (parc de la Vall d'Hebron);ES1856A;Background;Urban;Particulate matter < 10 µm (aerosol);SP_08019054_10_M;41.4260772;2.147992032;136;Continuous data collection;2007-12-31T00:00:00Z;;SAM_08019054_10_M;SPP_08019054_10_M.1;;;;Gravimetric analysis;http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Sants);ES1396A;Background;Urban;Arsenic in PM10 (aerosol);SP_08019042_17_M;41.3788028;2.133098078;35;Continuous data collection;2009-01-01T00:00:00Z;2011-12-31T00:00:00Z;SAM_08019042_17_M;SPP_08019042_17_M.2;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Sants);ES1396A;Background;Urban;Ethyl benzene (air);SP_08019042_35_M;41.3788028;2.133098078;35;Continuous data collection;2012-01-01T00:00:00Z;;SAM_08019042_35_M;SPP_08019042_35_M.2;;;;Gas chromatography + mass spectrometry (GC-MS);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
